"","bullshit1","bullshit2","bullshit3","bullshit4","bullshit5","bullshit6","bullshit7","bullshit8","bullshit9","bullshit10","mundane1","mundane2","mundane3","mundane4","mundane5","mundane6","mundane7","mundane8","mundane9","mundane10","FavorablenessTrump","FavorablenessCruz","FavorablenessRubio","FavorablenessClinton","FavorablenessSanders","FavorablenessOMalley","Conservatism","age","sex","country","who_first_presented","MeanBullshit","MeanMundane"
"111",5,2,2,2,3,3,2,4,2,1,5,5,3,4,4,3,1,2,3,4,1,2,2,3,5,NA,1,25,1,1,"Dem first",2.6,3.4
"112",3,2,3,1,4,1,2,4,1,5,3,3,4,2,3,1,1,2,1,4,1,2,4,1,4,1,3,34,2,1,"Rep first",2.6,2.4
"113",4,3,4,2,3,3,4,3,4,4,4,3,3,4,3,3,4,4,4,2,2,4,4,4,4,4,6,27,1,1,"Rep first",3.4,3.4
"114",4,4,4,4,3,3,4,4,4,2,3,4,4,4,2,3,2,3,4,4,1,2,2,1,1,1,7,29,2,1,"Rep first",3.6,3.3
"115",1,1,1,2,1,1,1,2,1,2,2,NA,2,4,4,3,4,4,3,3,1,1,4,4,4,2,2,65,2,1,"Rep first",1.3,3.22222222222222
"116",5,4,4,3,4,4,5,2,4,4,4,3,3,3,4,4,3,4,5,4,4,5,5,5,4,4,2,25,2,1,"Dem first",3.9,3.7
"117",4,3,4,2,2,1,1,4,1,2,3,3,2,2,2,3,5,3,4,3,1,2,2,4,5,3,3,40,2,1,"Dem first",2.4,3
"118",4,2,2,4,1,3,2,4,3,1,3,3,3,4,2,4,4,5,3,4,1,2,4,2,3,3,4,47,2,1,"Rep first",2.6,3.5
"119",2,3,1,3,3,2,2,4,1,3,2,3,2,4,3,2,2,1,3,2,4,2,2,4,5,2,2,31,2,1,"Dem first",2.4,2.4
"120",4,1,1,4,5,2,3,5,2,2,3,4,5,2,4,2,3,5,4,5,1,1,4,4,5,3,3,26,2,1,"Dem first",2.9,3.7
"121",3,2,2,1,4,5,3,2,4,1,5,2,3,3,2,3,1,4,4,2,1,2,2,4,5,3,2,36,2,1,"Rep first",2.7,2.9
"122",3,2,4,1,2,3,2,4,2,2,4,3,2,3,3,2,4,5,3,2,2,3,3,5,4,2,3,34,1,1,"Rep first",2.5,3.1
"123",1,1,5,1,5,1,5,1,5,5,5,5,5,5,5,1,5,5,5,5,1,1,1,4,4,4,1,58,1,1,"Dem first",3,4.6
"124",4,2,5,3,3,5,5,4,5,5,5,3,4,4,3,4,5,4,3,5,1,3,3,3,4,NA,4,33,1,1,"Dem first",4.1,4
"125",4,1,1,3,5,2,3,3,2,5,5,5,5,5,5,5,4,5,5,5,1,1,1,4,5,NA,3,22,2,1,"Dem first",2.9,4.9
"126",3,3,3,1,4,2,3,4,3,3,3,4,NA,4,4,3,1,5,4,2,2,5,5,1,3,NA,7,34,2,1,"Dem first",2.9,3.33333333333333
"127",1,1,1,1,1,2,2,3,3,1,3,2,2,3,1,3,2,3,3,2,5,1,1,1,4,2,4,29,2,1,"Rep first",1.6,2.4
"128",3,4,2,3,2,2,3,NA,3,NA,4,4,3,5,1,4,2,2,2,2,1,2,2,3,5,2,2,27,1,1,"Dem first",2.75,2.9
"129",3,2,4,3,3,2,1,4,3,2,2,4,2,3,3,2,4,3,2,4,1,1,1,2,4,3,1,24,1,1,"Rep first",2.7,2.9
"130",1,1,1,1,1,1,1,3,2,1,1,2,4,1,2,3,2,2,2,4,1,1,1,2,4,3,2,52,2,1,"Rep first",1.3,2.3
"131",2,1,1,2,1,2,1,3,1,4,1,1,1,3,1,1,1,1,3,1,1,1,1,3,5,3,1,30,1,1,"Rep first",1.8,1.4
"132",3,1,1,1,1,1,1,2,2,1,2,3,2,2,3,2,4,4,3,2,1,NA,NA,3,4,NA,2,24,1,1,"Rep first",1.4,2.7
